title,series,author,genre,date_published,publisher,lang,rating_count,rate,award,publisher_clean
Fantastic Beasts and Where to Find Them,True,Newt Scamander,Fantasy,2001.0,Arthur A. Levine Books,English,372109,3.96,0,arthuralevinebooks
Houdini Heart,False,Ki Longfellow,Horror,2011.0,Eio Books,English,10409,3.75,0,eiobooks
"An Echo in the Bone (Outlander, #7)",True,Diana Gabaldon,Historical,2010.0,Orion,English,133940,4.4,2,orion
Three Junes,False,Julia Glass,Fiction,2003.0,Anchor,English,45789,3.56,1,anchor
"The Dark Tower (The Dark Tower, #7)",True,Stephen King,Fantasy,2006.0,Pocket Books,English,162749,4.23,1,pocketbooks
"Y: The Last Man, Vol. 1: Unmanned",True,Brian K. Vaughan,Sequential Art,2003.0,Vertigo,English,109117,4.08,0,vertigo
Blink: The Power of Thinking Without Thinking,False,Malcolm Gladwell,Nonfiction,2007.0,Back Bay Books,English,534633,3.94,0,backbaybooks
"Ready Player One (Ready Player One, #1)",True,Ernest Cline,Science Fiction,2011.0,Crown Publishers,English,982924,4.24,5,crownpublishers
I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,False,Malala Yousafzai,Nonfiction,2013.0,Little Brown and Company,English,489281,4.12,3,littlebrowncompany
Carnal: Somewhere Over 40 Winks,False,Rom LcO'Feer,Contemporary,2009.0,Lulu.com,English,4859,3.47,0,lulucom
"The Unlikely Pilgrimage of Harold Fry (Harold Fry, #1)",True,Rachel Joyce,Fiction,2012.0,Random House,English,162236,3.91,5,randomhouse
"Legend (Legend, #1)",True,Marie Lu,Young Adult,2011.0,Putnam Juvenile,English,467828,4.16,5,putnamjuvenile
Dreamcatcher,False,Stephen King,Horror,2002.0,Unknown,English,162211,3.64,0,unknown
Rooftops of Tehran,False,Mahbod Seraji,Historical,2009.0,NAL,English,12309,3.82,0,nal
Suzanne's Diary for Nicholas,False,James Patterson,Romance,2003.0,Vision,English,146169,4.15,0,vision
"Living Dead in Dallas (Sookie Stackhouse, #2)",True,Charlaine Harris,Fantasy,2004.0,Orbit,English,252031,3.95,1,orbit
A Gentleman in Moscow,False,Amor Towles,Historical,2019.0,Penguin Books,English,380254,4.32,4,penguinbooks
"Moon Called (Mercy Thompson, #1)",True,Patricia Briggs,Fantasy,2006.0,Ace,English,197582,4.12,0,ace
"Fall of Giants (The Century Trilogy, #1)",True,Ken Follett,Historical,2010.0,Berkley,English,298468,4.27,1,berkley
"Julie and Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen",False,Julie Powell,Nonfiction,2005.0,Little Brown and Company,English,161741,3.7,0,littlebrowncompany
"Possession of My Heart (The Three Immortal Blades, #2)",True,Kia Carrington-Russell,Unknown,2014.0,Crystal Publishing,English,4852,3.5,0,crystalpublishing
Change of Heart,False,Jodi Picoult,Fiction,2008.0,Atria Books,English,111976,3.91,2,atriabooks
The Audacity of Hope: Thoughts on Reclaiming the American Dream,False,Barack Obama,Nonfiction,2006.0,Crown Publishers,English,161016,3.78,1,crownpublishers
A Man Called Ove,False,Fredrik Backman,Fiction,2014.0,Atria Books,English,700051,4.35,0,atriabooks
The Tiger's Wife,False,Téa Obreht,Fiction,2011.0,Random House,English,100772,3.42,5,randomhouse
"An Echo in the Bone (Outlander, #7)",True,Diana Gabaldon,Historical,2010.0,Orion,English,134288,4.4,2,orion
Moneyball: The Art of Winning an Unfair Game,False,Michael   Lewis,Nonfiction,2004.0,W. W. Norton  Company,English,116846,4.22,2,wwnortoncompany
Wild: From Lost to Found on the Pacific Crest Trail,False,Cheryl Strayed,Nonfiction,2012.0,Knopf,English,683997,4.02,4,knopf
"Inferno (Robert Langdon, #4)",True,Dan Brown,Fiction,2013.0,Doubleday,English,512171,3.86,1,doubleday
"The Present (VanWest, #2)",True,Kenneth   Thomas,Science Fiction,2020.0,Unknown,English,10493,4.27,0,unknown
"The Rosie Project (Don Tillman, #1)",True,Graeme Simsion,Fiction,2013.0,Simon & Schuster,English,494118,4.01,5,simonschuster
"Poison Study (Study, #1)",True,Maria V. Snyder,Fantasy,2007.0,Mira,English,163800,4.07,3,mira
"Club Dead (Sookie Stackhouse, #3)",True,Charlaine Harris,Fantasy,2006.0,Orbit,English,237213,3.99,0,orbit
The Kitchen House,False,Kathleen Grissom,Historical,2010.0,Atria Books,English,252618,4.18,1,atriabooks
The Sea,False,John Banville,Fiction,2006.0,Vintage,English,30603,3.52,4,vintage
