series,genre,date_published,rate,award,english_lan
1,Fantasy,2001.0,3.96,0,1
0,Horror,2011.0,3.75,0,1
1,Historical,2010.0,4.4,2,1
0,Fiction,2003.0,3.56,1,1
1,Fantasy,2006.0,4.23,1,1
1,Sequential Art,2003.0,4.08,0,1
0,Nonfiction,2007.0,3.94,0,1
1,Science Fiction,2011.0,4.24,5,1
0,Nonfiction,2013.0,4.12,3,1
0,Other,2009.0,3.47,0,1
1,Fiction,2012.0,3.91,5,1
1,Young Adult,2011.0,4.16,5,1
0,Horror,2002.0,3.64,0,1
0,Historical,2009.0,3.82,0,1
0,Romance,2003.0,4.15,0,1
1,Fantasy,2004.0,3.95,1,1
0,Historical,2019.0,4.32,4,1
1,Fantasy,2006.0,4.12,0,1
1,Historical,2010.0,4.27,1,1
0,Nonfiction,2005.0,3.7,0,1
1,Other,2014.0,3.5,0,1
0,Fiction,2008.0,3.91,2,1
0,Nonfiction,2006.0,3.78,1,1
0,Fiction,2014.0,4.35,0,1
0,Fiction,2011.0,3.42,5,1
1,Historical,2010.0,4.4,2,1
0,Nonfiction,2004.0,4.22,2,1
0,Nonfiction,2012.0,4.02,4,1
1,Fiction,2013.0,3.86,1,1
1,Science Fiction,2020.0,4.27,0,1
1,Fiction,2013.0,4.01,5,1
1,Fantasy,2007.0,4.07,3,1
1,Fantasy,2006.0,3.99,0,1
0,Historical,2010.0,4.18,1,1
0,Fiction,2006.0,3.52,4,1
0,Fiction,2011.0,4.04,2,1
1,Fantasy,2014.0,4.39,2,1
1,Romance,2012.0,3.84,1,1
1,Fantasy,2006.0,3.91,4,1
0,Womens Fiction,2005.0,3.84,0,1
0,Fiction,2006.0,3.86,3,1
1,Young Adult,2009.0,3.59,2,1
0,Fiction,2012.0,4.02,7,1
1,Romance,2005.0,3.97,0,1
0,Nonfiction,2008.0,4.17,0,1
0,Mystery,2009.0,3.93,2,1
0,Fiction,2009.0,4.17,5,1
0,History,2006.0,3.83,2,1
1,Romance,2020.0,3.92,0,1
0,Romance,2009.0,3.49,0,1
1,Fantasy,2010.0,3.88,1,1
1,Other,2020.0,4.32,0,1
1,Fantasy,2007.0,4.04,0,1
0,Fiction,2012.0,3.97,5,1
1,Young Adult,2005.0,3.84,0,1
0,Young Adult,2006.0,4.01,5,1
0,Fiction,2009.0,3.72,0,1
0,Fiction,2004.0,3.71,1,1
0,Fiction,2005.0,3.79,1,1
1,Young Adult,2010.0,3.88,2,1
0,Nonfiction,2007.0,3.89,1,1
1,Fantasy,2008.0,3.99,0,1
1,Science Fiction,2005.0,3.84,4,1
0,Fiction,2007.0,3.66,1,1
0,Fiction,2003.0,3.44,1,1
0,Fiction,2009.0,3.85,5,1
0,Nonfiction,2005.0,3.91,0,1
1,Nonfiction,2006.0,3.7,1,1
1,Fantasy,2015.0,3.41,0,1
0,Historical,2005.0,4.09,0,1
0,Fiction,2013.0,3.67,0,1
1,Fiction,2012.0,3.73,5,1
1,Historical,2007.0,3.89,2,1
1,Fantasy,2006.0,4.25,5,1
0,Fiction,2007.0,3.71,4,1
0,Fiction,2007.0,3.29,1,1
0,Fiction,2009.0,3.8,1,1
0,Fiction,2003.0,3.56,1,1
1,Science Fiction,2012.0,4.19,4,1
0,Nonfiction,2006.0,3.68,2,1
0,Other,2004.0,3.97,1,1
1,Fantasy,2013.0,4.36,1,1
0,Fiction,2007.0,3.75,0,1
1,Young Adult,2010.0,4.0,1,1
1,Young Adult,2007.0,4.15,5,1
1,Young Adult,2007.0,3.8,1,1
0,History,2011.0,3.83,3,1
1,Fantasy,2003.0,3.85,5,1
0,Other,2006.0,3.88,1,1
1,Fantasy,2011.0,4.16,1,1
1,Fantasy,2001.0,3.81,0,1
0,Fiction,2004.0,3.7,2,1
1,Fantasy,2006.0,4.04,0,1
0,Fiction,2010.0,3.85,2,1
1,Young Adult,2010.0,3.9,0,1
1,Fantasy,2007.0,3.99,0,1
1,Young Adult,2010.0,3.85,0,1
0,Historical,2014.0,4.23,3,1
0,Biography,2011.0,4.15,3,1
1,Young Adult,2007.0,3.91,0,1
1,Fantasy,2011.0,4.21,0,1
1,Sequential Art,2002.0,3.96,2,1
0,Fiction,2008.0,3.95,5,1
0,Fiction,2006.0,3.64,0,1
1,Science Fiction,2009.0,3.9,5,1
1,Fantasy,2006.0,4.17,0,1
0,Fiction,2011.0,3.47,2,1
0,Historical,2011.0,4.34,5,1
1,Fiction,2010.0,4.33,2,1
1,Young Adult,2010.0,3.51,1,1
0,Thriller,2014.0,4.26,2,1
1,Young Adult,2010.0,4.14,3,1
1,Fantasy,2005.0,3.9,2,1
0,Nonfiction,2009.0,4.29,1,1
1,Young Adult,2011.0,3.92,1,1
1,Fantasy,2007.0,4.35,0,1
1,Fantasy,2003.0,4.16,3,1
0,Other,2015.0,3.89,0,0
1,Fantasy,2007.0,3.69,3,1
1,Young Adult,2011.0,4.17,1,1
0,Nonfiction,2009.0,4.41,4,1
0,Other,2017.0,4.79,0,1
1,Science Fiction,2009.0,3.87,4,1
1,Mystery,2013.0,3.87,3,1
0,Other,2012.0,3.46,1,1
0,Historical,2012.0,3.83,0,1
1,Fantasy,2006.0,4.21,1,1
1,Biography,2003.0,4.29,5,1
1,Sequential Art,2006.0,3.94,1,1
0,Fiction,2012.0,3.88,3,1
0,Fiction,2007.0,3.56,2,1
0,Horror,2008.0,3.87,4,1
1,Historical,2008.0,4.34,1,1
0,Nonfiction,2015.0,4.39,2,1
0,Fantasy,2014.0,4.54,0,1
0,Other,2004.0,3.98,3,1
1,Romance,2014.0,4.16,1,1
1,Other,2007.0,4.33,0,1
0,Young Adult,2006.0,3.55,3,1
0,Other,2013.0,3.67,0,1
0,Fiction,2007.0,3.82,0,1
1,Young Adult,2008.0,3.86,1,1
1,Fiction,2015.0,3.32,2,1
0,Other,2015.0,4.66,0,1
1,Fantasy,2006.0,3.97,1,1
0,Mystery,2011.0,4.23,0,1
1,Horror,2006.0,3.99,0,1
1,Historical,2007.0,3.81,5,1
1,Young Adult,2010.0,4.48,1,1
0,Fiction,2012.0,3.96,5,1
1,Science Fiction,2010.0,3.5,0,1
0,Horror,2005.0,3.95,1,1
1,Fantasy,2009.0,4.32,3,1
0,Other,2013.0,3.83,0,1
1,Fantasy,2008.0,4.31,1,1
1,Mystery,2003.0,4.14,2,1
1,Fantasy,2015.0,4.47,5,1
0,Nonfiction,2011.0,3.95,3,1
1,Fantasy,2004.0,4.02,0,1
0,Fiction,2004.0,3.52,5,1
1,Fantasy,2002.0,4.06,5,1
1,Fantasy,2007.0,3.97,1,1
0,Fiction,2016.0,4.05,2,1
1,Fantasy,2014.0,3.52,0,1
1,Womens Fiction,2006.0,3.67,0,1
1,Fantasy,2015.0,4.24,1,1
0,Nonfiction,2009.0,4.26,1,1
0,Other,2007.0,3.94,1,1
0,Sequential Art,2006.0,3.88,5,1
1,Fantasy,2006.0,4.16,1,1
0,Historical,2007.0,3.62,0,1
1,Womens Fiction,2006.0,3.77,0,1
0,Nonfiction,2009.0,3.84,3,1
0,Fiction,2010.0,3.92,1,1
1,Nonfiction,2010.0,4.0,0,1
1,Fiction,2009.0,4.08,5,1
1,Romance,2006.0,4.32,0,1
1,Fantasy,2016.0,4.59,1,1
0,Fiction,2012.0,3.98,1,1
1,Romance,2012.0,3.49,1,1
0,Short Stories,2005.0,4.06,0,1
0,Fiction,2006.0,4.08,1,1
0,Nonfiction,2006.0,4.1,0,1
0,Horror,2008.0,3.94,2,1
0,Fiction,2005.0,3.44,5,1
0,History,2006.0,3.88,1,1
0,Other,2007.0,3.83,0,1
0,Mystery,2011.0,3.84,0,1
1,Young Adult,2011.0,4.02,0,1
1,Mystery,2008.0,4.04,0,1
0,Short Stories,2012.0,3.71,1,1
1,Fiction,2007.0,3.48,0,1
0,History,2005.0,4.17,2,1
1,Mystery,2011.0,4.01,1,1
1,Sequential Art,2005.0,4.16,0,1
1,Young Adult,2006.0,4.06,2,1
0,Other,2006.0,3.9,0,1
1,Mystery,2005.0,4.08,0,1
0,History,2010.0,4.39,5,1
1,Young Adult,2011.0,4.0,4,1
0,Other,2013.0,4.48,0,1
0,Nonfiction,2006.0,3.92,4,1
0,Other,2005.0,3.93,2,1
1,Fantasy,2005.0,4.25,4,1
0,Fantasy,2018.0,4.26,5,1
0,Nonfiction,2002.0,4.04,1,1
0,Fiction,2005.0,3.98,4,1
1,Fantasy,2010.0,3.84,3,1
1,Fantasy,2009.0,4.08,4,1
0,Romance,2009.0,4.12,0,1
1,Fantasy,2007.0,4.61,5,1
0,Fiction,2014.0,4.07,5,1
1,Young Adult,2007.0,4.11,0,1
1,Fantasy,2013.0,4.24,1,1
1,Science Fiction,2005.0,4.02,3,1
0,Nonfiction,2011.0,4.16,4,1
1,Young Adult,2009.0,4.12,1,1
0,Science Fiction,2016.0,4.1,2,1
1,Young Adult,2012.0,4.04,1,1
0,Fiction,2011.0,3.88,4,1
1,Fantasy,2010.0,4.46,0,1
1,Historical,2004.0,3.87,0,1
0,Fiction,2009.0,3.98,0,1
0,Science Fiction,2014.0,4.01,5,1
0,Fiction,2011.0,3.96,2,1
0,Short Stories,2013.0,3.95,4,1
1,Science Fiction,2009.0,3.74,5,1
0,Historical,2010.0,4.16,5,1
0,Fiction,2002.0,3.88,1,1
0,Other,2020.0,3.93,0,1
0,Horror,2007.0,3.84,5,1
1,Fantasy,2013.0,4.08,5,1
1,Fantasy,2010.0,4.27,5,1
1,Young Adult,2011.0,3.99,2,1
0,Other,2013.0,4.38,0,1
0,Fiction,2010.0,3.62,5,1
0,Other,2009.0,4.05,0,1
1,Historical,2009.0,3.72,1,1
1,Young Adult,2013.0,3.99,1,1
1,Fantasy,2007.0,3.99,4,1
0,Science Fiction,2011.0,3.89,5,1
1,Historical,2006.0,4.28,5,1
1,Fantasy,2012.0,4.15,1,1
1,Other,2005.0,4.42,0,0
1,Romance,2012.0,3.72,0,1
0,Horror,2006.0,3.69,3,1
0,Fiction,2010.0,3.97,1,1
1,Historical,2006.0,4.29,1,1
1,Young Adult,2010.0,3.91,0,1
1,Fantasy,2007.0,3.93,0,1
0,Fiction,2006.0,3.6,1,1
0,Fiction,2008.0,3.61,1,1
1,Romance,2006.0,4.43,2,1
1,Fantasy,2008.0,4.11,2,1
0,Young Adult,2008.0,3.99,2,1
1,Fantasy,2007.0,4.29,0,1
0,Fiction,2003.0,4.07,3,1
1,Fantasy,2010.0,4.49,1,1
1,Fantasy,2009.0,4.0,1,1
0,Fiction,2005.0,3.8,0,1
1,Fantasy,2006.0,3.98,0,1
0,Fantasy,2013.0,4.13,0,1
1,Womens Fiction,2002.0,3.73,0,1
1,Fantasy,2013.0,4.51,1,1
0,Young Adult,2006.0,4.04,5,1
1,Fiction,2012.0,3.97,3,1
1,Romance,2013.0,4.03,1,1
1,Fantasy,2007.0,4.12,1,1
0,Nonfiction,2007.0,4.13,2,1
0,Nonfiction,2004.0,4.11,0,1
1,Young Adult,2008.0,3.93,0,1
0,Nonfiction,2009.0,4.04,1,1
0,Nonfiction,2012.0,3.86,2,1
0,Fiction,2009.0,3.63,3,1
1,Fantasy,2006.0,4.23,1,1
1,Young Adult,2009.0,3.91,1,1
0,Fiction,2007.0,3.68,4,1
0,Historical,2011.0,3.81,3,1
0,Fiction,2008.0,3.95,2,1
0,Fantasy,2009.0,3.89,5,1
0,Fiction,2010.0,3.95,5,1
1,Young Adult,2006.0,3.82,2,1
0,Poetry,2016.0,3.56,0,1
1,Horror,2009.0,3.77,3,1
1,Fantasy,2006.0,4.57,3,1
0,Fiction,2009.0,4.46,5,1
0,Fiction,2004.0,4.32,5,1
1,Fantasy,2004.0,4.5,5,1
1,Young Adult,2008.0,4.32,5,1
0,Historical,2006.0,4.38,5,1
0,Fiction,2004.0,3.75,1,1
0,Fiction,2006.0,3.92,5,1
0,Romance,2010.0,4.2,1,1
0,Fiction,2007.0,4.39,5,1
1,Young Adult,2009.0,4.3,5,1
0,Fiction,2013.0,3.98,5,1
1,Fiction,2008.0,4.15,5,1
1,Fiction,2006.0,3.88,5,1
0,Young Adult,2012.0,4.18,5,1
0,Fiction,2007.0,4.09,4,1
0,Fiction,2006.0,3.97,5,1
0,Fiction,2004.0,3.89,5,1
0,Fiction,2003.0,4.01,6,1
1,Young Adult,2010.0,4.05,5,1
1,Young Adult,2006.0,3.62,5,1
0,Fiction,2006.0,3.83,5,1
0,Fiction,2003.0,3.91,5,1
0,Fiction,2003.0,4.07,5,1
1,Fiction,2005.0,4.27,5,1
1,Fantasy,2006.0,4.27,5,1
1,Young Adult,2012.0,4.17,5,1
1,Young Adult,2007.0,4.09,5,1
0,Fiction,2006.0,3.96,3,1
1,Fantasy,2011.0,4.1,5,1
1,Fiction,2006.0,3.92,1,1
0,Fiction,2010.0,3.83,5,1
0,Fiction,2005.0,4.08,5,1
0,Historical,2018.0,4.17,2,1
0,Nonfiction,2006.0,4.28,2,1
1,Young Adult,2008.0,3.85,0,1
1,Fiction,2009.0,4.24,5,1
1,Young Adult,2008.0,3.71,3,1
0,Fiction,2004.0,3.99,5,1
0,Nonfiction,2007.0,3.59,1,1
1,Young Adult,2007.0,3.71,2,1
1,Young Adult,2006.0,3.56,5,1
1,Fiction,2010.0,4.22,4,1
1,Fantasy,2007.0,4.51,5,1
1,Fantasy,2009.0,4.29,3,1
0,Fiction,2010.0,4.06,5,1
0,Fantasy,2008.0,4.13,5,1
0,Fiction,2006.0,4.13,5,1
0,Fiction,2014.0,4.09,5,1
1,Fantasy,2008.0,4.13,2,1
0,Fiction,2007.0,3.89,5,1
1,Nonfiction,2006.0,3.99,3,1
0,Fiction,2002.0,3.8,6,1
0,Fantasy,2011.0,4.03,5,1
0,Nonfiction,2003.0,3.98,5,1
0,Fiction,2006.0,3.96,3,1
0,Nonfiction,2005.0,4.12,1,1
0,Fiction,2004.0,3.51,0,1
1,Young Adult,2011.0,3.9,4,1
0,Fiction,2005.0,3.92,5,1
1,Fantasy,2005.0,3.83,1,1
1,Fantasy,2005.0,4.35,5,1
1,Young Adult,2013.0,4.11,0,1
0,Sequential Art,2009.0,4.2,5,1
0,Fiction,2009.0,3.68,4,1
0,Nonfiction,2007.0,4.23,3,1
1,Fantasy,2007.0,4.13,5,1
